shape,name,lng,lat
"117.285955,31.893242_117.285895,31.893191_117.285797,31.893138_117.28433,31.893032_117.283957,31.892991_117.283611,31.892896_117.283255,31.892756_117.282916,31.892602_117.28266,31.892666_117.282425,31.893625_117.282257,31.894677_117.282276,31.894731_117.282319,31.894779_117.28241,31.894809_117.283833,31.894894_117.28407,31.894937_117.284926,31.895028_117.285675,31.895099_117.285987,31.893309_117.285955,31.893242",上城国际·新界,117.284096,31.893943
"117.282714,31.889554_117.282891,31.88922_117.282452,31.889082_117.28208,31.889769_117.280561,31.889071_117.280439,31.889248_117.281165,31.889616_117.280772,31.890281_117.280509,31.890172_117.280437,31.890368_117.280259,31.890699_117.27978,31.890522_117.279726,31.890737_117.279769,31.890816_117.280044,31.890949_117.282529,31.89217_117.282634,31.892117_117.283387,31.88993_117.283217,31.889883_117.282698,31.88975_117.282714,31.889554",上城国际玫瑰苑,117.281819,31.890606
"117.283613,31.892453_117.283574,31.892285_117.283522,31.892098_117.283585,31.891891_117.283563,31.891494_117.283645,31.891183_117.283737,31.890409_117.283406,31.890318_117.282786,31.892143_117.282767,31.892216_117.282759,31.892286_117.282791,31.892342_117.282844,31.892374_117.283501,31.892668_117.283613,31.892453",玫瑰苑(上城国际玫瑰苑东),117.28331,31.891591
"117.168836,31.853403_117.168675,31.853387_117.16872,31.852872_117.16941,31.852899_117.169734,31.853148_117.172373,31.853141_117.172368,31.853599_117.170077,31.853622_117.168852,31.85361_117.168836,31.853403",上堤公寓,117.170392,31.853335
"117.368447,31.876689_117.368095,31.876673_117.368109,31.87581_117.368118,31.87575_117.368435,31.875763_117.368447,31.876689",创湘·上林雅苑2期,117.368272,31.876225
"117.365723,31.877795_117.365709,31.877692_117.365751,31.877099_117.365817,31.877095_117.365905,31.875671_117.367017,31.875687_117.367001,31.876621_117.367042,31.876624_117.366989,31.877761_117.365723,31.877795",创湘·上林雅苑1期,117.366411,31.876759
"117.177144,31.735376_117.177678,31.735799_117.177774,31.735759_117.178153,31.735067_117.177388,31.73473_117.177139,31.735259_117.177144,31.735376",新城花园小区,117.177611,31.735248
"117.176567,31.730783_117.176759,31.730664_117.176892,31.730857_117.176983,31.730831_117.177168,31.731083_117.177447,31.730848_117.177367,31.730661_117.177284,31.730546_117.177145,31.730622_117.177066,31.730615_117.17683,31.730275_117.176647,31.730394_117.176562,31.730321_117.176337,31.730519_117.176567,31.730783",好运雅苑,117.176913,31.730654
"117.176483,31.728795_117.177011,31.728283_117.176968,31.728248_117.177365,31.727823_117.178328,31.728453_117.177326,31.729411_117.176483,31.728795",金桂苑小区,117.177392,31.728617
"117.177403,31.734725_117.17817,31.735036_117.178572,31.734308_117.178565,31.734258_117.177995,31.73332_117.177946,31.733312_117.177814,31.733418_117.177979,31.733644_117.177403,31.734725",云海家园,117.178029,31.734309
"117.17543,31.727384_117.175608,31.727137_117.174871,31.726805_117.174592,31.727043_117.174383,31.727236_117.174387,31.727279_117.175081,31.727776_117.175144,31.727783_117.17543,31.727384",安居苑,117.174996,31.727268
