address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
君盛桃源,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19100314310100106295.html,高楼层(共18层)3室2厅|108.77平米|南,高楼层(共18层,南,70.0,108.77,3室2厅,0,小区绿化高，物业管理好，人车分流,0,0.6435598
山鹰双城汇,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102914310100111681.html,高楼层(共5层)3室2厅|168平米|南,高楼层(共5层,南,95.0,168.0,3室2厅,0,双城汇 顶楼复式 精装修 户型好,0,0.5654762
长江金源豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19090414310100109842.html,中楼层(共11层)2室2厅|102平米|南,中楼层(共11层,南,76.0,102.0,2室2厅,0,长江金源豪庭  小高层电梯精装大两房  南北通  税费少,0,0.74509805
紫竹苑,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111014310100105039.html,低楼层(共6层)2室2厅|102平米|南,低楼层(共6层,南,45.0,102.0,2室2厅,0,紫竹苑，毛坯两房，采光好，户型方正，通透性好,0,0.44117647
新宸金悦府,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19082514310100106789.html,中楼层(共5层)2室2厅|98.7平米|南,中楼层(共5层,南,70.0,98.7,2室2厅,0,新宸金悦府 2室2厅 南,0,0.7092199
金汇康郡东区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102914310100113129.html,中楼层(共18层)3室2厅|134.94平米|南北,中楼层(共18层,南北,77.0,134.94,3室2厅,0,金汇康郡东区！！！中间楼层！！！！,0,0.570624
翠湖林居,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19072714310100101644.html,中楼层(共6层)3室2厅|125平米|南北,中楼层(共6层,南北,41.0,125.0,3室2厅,0,五星佳苑，交通便利，楼层好，采光充足，视野宽阔,0,0.328
君盛桃源,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19091614310100108239.html,低楼层(共11层)3室2厅|130.6平米|东南,低楼层(共11层,东南,75.0,130.6,3室2厅,0,君盛桃源毛坯大三房，满五唯一，税费少,0,0.5742726
碧桂花园,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19072914310100103179.html,中楼层(共6层)3室2厅|120平米|南北,中楼层(共6层,南北,90.0,120.0,3室2厅,0,碧桂花园 3室2厅 南 北,0,0.75
翠竹小区,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19102814310100102498.html,高楼层(共6层)2室2厅|78.9平米|南北,高楼层(共6层,南北,34.6,78.9,2室2厅,0,翠竹小区   精装两房   房东诚心出售,0,0.43852976
